world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against
1990,Italy,Italy,Third place,5.0,7.0,6.0,10.0,2.0
1994,USA,Italy,Runners-up,6.0,7.0,4.0,8.0,5.0
1998,France,Italy,Quarter-finals,3.0,5.0,3.0,8.0,3.0
2002,Korea/Japan,Italy,Round of 16,2.0,4.0,1.0,5.0,5.0
2006,Germany,Italy,Winner,7.0,7.0,6.0,12.0,2.0
2010,South Africa,Italy,Group stage,1.0,3.0,0.0,4.0,5.0
2014,Brazil,Italy,Group stage,1.0,3.0,1.0,2.0,3.0
2018,Russia,Italy,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,Ivory Coast,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Ivory Coast,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Ivory Coast,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Ivory Coast,Did not qualify,0.0,0.0,0.0,0.0,0.0
2002,Korea/Japan,Ivory Coast,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Ivory Coast,Group stage,1.0,3.0,1.0,5.0,6.0
2010,South Africa,Ivory Coast,Group stage,1.0,3.0,1.0,4.0,3.0
2014,Brazil,Ivory Coast,Group stage,1.0,3.0,1.0,4.0,5.0
2018,Russia,Ivory Coast,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,Jamaica,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Jamaica,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Jamaica,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Jamaica,Group stage,1.0,3.0,1.0,3.0,9.0
2002,Korea/Japan,Jamaica,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Jamaica,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,Jamaica,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,Jamaica,Did not qualify,0.0,0.0,0.0,0.0,0.0
2018,Russia,Jamaica,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,Japan,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Japan,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Japan,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Japan,Group stage,1.0,3.0,0.0,1.0,4.0
2002,Korea/Japan,Japan,Round of 16,2.0,4.0,2.0,5.0,3.0
2006,Germany,Japan,Group stage,1.0,3.0,0.0,2.0,7.0
2010,South Africa,Japan,Round of 16,2.0,4.0,2.0,4.0,2.0
2014,Brazil,Japan,Group stage,1.0,3.0,0.0,2.0,6.0
2018,Russia,Japan,Round of 16,2.0,4.0,1.0,6.0,7.0
1986,Mexico,Mexico,Quarter-finals,3.0,5.0,3.0,6.0,2.0
1990,Italy,Mexico,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Mexico,Round of 16,2.0,4.0,1.0,4.0,4.0
1998,France,Mexico,Round of 16,2.0,4.0,1.0,8.0,7.0
2002,Korea/Japan,Mexico,Round of 16,2.0,4.0,2.0,4.0,4.0
2006,Germany,Mexico,Round of 16,2.0,4.0,1.0,5.0,5.0
2010,South Africa,Mexico,Round of 16,2.0,4.0,1.0,4.0,5.0
2014,Brazil,Mexico,Round of 16,2.0,4.0,2.0,5.0,3.0
2018,Russia,Mexico,Round of 16,2.0,4.0,2.0,3.0,6.0
1986,Mexico,Morocco,Round of 16,2.0,4.0,1.0,3.0,2.0
1990,Italy,Morocco,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Morocco,Group stage,1.0,3.0,0.0,2.0,5.0
1998,France,Morocco,Group stage,1.0,3.0,1.0,5.0,5.0
2002,Korea/Japan,Morocco,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Morocco,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,Morocco,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,Morocco,Did not qualify,0.0,0.0,0.0,0.0,0.0
2018,Russia,Morocco,Group stage,1.0,3.0,0.0,2.0,4.0
1986,Mexico,Netherlands,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Netherlands,Round of 16,2.0,4.0,0.0,3.0,4.0
1994,USA,Netherlands,Quarter-finals,3.0,5.0,3.0,8.0,6.0
1998,France,Netherlands,Fourth place,4.0,7.0,3.0,13.0,7.0
2002,Korea/Japan,Netherlands,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Netherlands,Round of 16,2.0,4.0,2.0,3.0,2.0
2010,South Africa,Netherlands,Runners-up,6.0,7.0,6.0,12.0,6.0
2014,Brazil,Netherlands,Third place,5.0,7.0,6.0,15.0,4.0
